area_type,availability,location,size,society,total_sqft,bath,balcony,price,latitude,longitude
Super built-up  Area,Ready To Move,Ardendale,2 BHK,SrisePo,1280,2,1,61,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,SoystAm,1455,2,0,95,13.0027353,77.5703253
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,Sariaat,440,2,3,275,12.9140788,77.6188862
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,Crentt ,1500,2,1,80,12.913332,77.5783216
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Vador S,1800,3,1,56,12.9822173,77.6657841
Super built-up  Area,Ready To Move, Rachenahalli,3 BHK,ViisePa,1225,3,1,56,13.0588586,77.6232576
Super built-up  Area,20-Aug,Kanakpura Road,1 BHK,AsNowre,1650,2,0,28,12.8856913,77.5526564
Plot  Area,Ready To Move,Whitefield,3 BHK,Nathira,880,2,2,97,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brony H,1005,2,1,110,13.0082277,77.6941931
Super built-up  Area,19-Dec,Bannerghatta Road,2 BHK,SheldGr,1562,2,0,53.55,12.9504037,77.6033713
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Esave E,5000,2,0,122,12.8487599,77.648253
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,Itelaa ,1190,2,2,18,12.9107357,77.5829631
Super built-up  Area,Ready To Move,Whitefield,2 BHK,NaensGa,1070,3,2,42,12.9963995,77.7614229
Super built-up  Area,20-Dec,Devanahalli,3 BHK,Oreldhi,1300,3,2,103,13.2483502,77.7134377
Built-up  Area,Ready To Move,Whitefield,4 BHK,Soyleif,1420,2,2,395,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,BainePr,1069,3,2,67,12.9121916,77.5476337
Built-up  Area,Ready To Move,Jalahalli East,2 BHK,KsonsCa,1900,2,2,50,13.0578317,77.5462216
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Rainet ,1655,2,2,49,13.0382184,77.5919
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1155,3,1,123,13.0382184,77.5919
Carpet  Area,18-Dec,Marathahalli,3 BHK,Arcia S,1300,1,1,65.4,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,PueraRi,1100,1,1,123,12.9572062,77.6741501
Super built-up  Area,18-May,Uttarahalli,2 BHK,Jaades ,1030,2,2,97.65,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SLnssPr,1700,2,1,40.42,12.9239386,77.6396966
Built-up  Area,Ready To Move,Electronic City,3 BHK,Esatea ,1760,4,1,70,12.8487599,77.648253
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Amhidte,912,3,1,45,12.8505644,77.6466948
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Arensh ,1535,4,2,42,12.8654221,77.6295788
Built-up  Area,Ready To Move,Jakkur,3 BHK,Prsun S,1243,2,1,126,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,BrdgeNo,918,1,0,139,12.9504037,77.6033713
Built-up  Area,Ready To Move,Channasandra Layout,2 BHK,Haaceal,1500,2,1,55,13.0059466,77.6593935
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Aconyit,1476,2,1,55,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Jigani,2 BHK,RInceeg,606,2,2,46,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Begur Road,2 BHK,DLhtsan,527,3,2,63.2,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,MJilayl,1300,2,1,70,12.9047595,77.6759172
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,HMwerCo,1140,2,1,89,12.9709537,77.5373851
Super built-up  Area,21-Jun,Neeladri Nagar,1 BHK,Saityat,2321,2,2,34.78,12.8414612,77.6479661
Built-up  Area,Ready To Move,OMBR Layout,1 BHK,AdingSV,1725,2,2,26,13.0082113,77.652778
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Drerspe,3067,2,1,80,12.9357366,77.624081
Built-up  Area,Ready To Move,Whitefield,2 BHK,Vaanda ,1186,2,0,75.2,12.9963995,77.7614229
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Prtates,660,2,1,128,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Asncywo,1036,3,1,90,13.0382184,77.5919
Super built-up  Area,18-May,Hennur Road,4 BHK,SNontle,1100,2,1,310,13.0351224,77.631944
Super built-up  Area,18-Mar,Kanakpura Road,3 BHK,Koagati,1015,2,2,63,12.8856913,77.5526564
Super built-up  Area,19-Dec,Basavangudi,1 BHK,She 2rk,1165,2,2,54,12.9421868,77.5742576
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Tinori ,1274,3,1,105,13.0082277,77.6941931
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Teilsaf,1151,3,3,70,12.8401734,77.6595099
Built-up  Area,Ready To Move,Nehru Nagar,2 BHK,GaicaVe,1626,2,1,56,12.9869634,77.5755584
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,MJarlPe,780,4,3,75,12.9140788,77.6188862
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NDclenn,1850,2,2,70,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,GrrvaGr,904,2,1,39.02,12.9547872,77.7213154
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,ShdhiSa,1121,1,0,120,12.932582,77.5162034
Built-up  Area,Ready To Move,Keerthi Layout,2 BHK,PSterAs,1385,3,1,38,12.7963302,77.7101094
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NianaKe,1270,2,2,25,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,RBersll,1450,3,2,110,13.0787974,77.5164773
Built-up  Area,Ready To Move,Shikaripalya,2 BHK,DSdorSp,1580,4,1,30,12.8359685,77.6571728
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,ALtonea,1111,3,2,43.72,12.9136133,77.595695
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,Vasta C,977,2,2,58.17,13.0621474,77.5800614
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Rauil T,2540,2,1,69.85,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,JRrnauv,1290,2,2,56,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,GrrvaGr,795,1,1,53.56,13.054713,77.6339258
Super built-up  Area,Ready To Move,Varthur,2 BHK,Teire G,700,2,2,50,12.9406508,77.746988
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Maine J,1463,3,2,36,12.9116225,77.6388622
Plot  Area,Ready To Move,Jakkur,4 BHK,Puodsm ,1670,2,3,115,13.0784743,77.6068938
Super built-up  Area,17-Dec,Abbigere,2 BHK,BrdgeNo,1875,2,2,100,13.0742739,77.5288653
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,SLtias ,1200,2,1,32.54,12.8856913,77.5526564
Super built-up  Area,20-Dec,Ambedkar Colony,2 BHK,PrarePa,2065,3,2,35,12.9708334,77.6951966
Built-up  Area,Ready To Move,Bommenahalli,2 BHK,RMcesa ,1225,2,2,142,13.0742536,77.7465943
Plot  Area,Ready To Move,Jayanagar,4 BHK,Prana S,1185.5,2,2,135,12.9292731,77.5824229
Built-up  Area,Ready To Move,Marsur,3 BHK,Rathira,1350,2,2,235,12.7678915,77.7043732
Plot  Area,Ready To Move,1st Phase JP Nagar,3 BHK,AreraRe,700,3,3,90,12.9150543,77.5988508
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Prhtsok,1005,2,3,210,13.0318443,77.7618779
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Deiveer,1680,2,1,40,13.054713,77.6339258
Super built-up  Area,18-Nov,Bellandur,2 BHK,Bhe 2ko,1043,2,1,58.68,12.9361208,77.6671843
Super built-up  Area,19-Dec,Kaggalipura,2 BHK,She 2rk,1040,2,2,91,12.8089587,77.5097006
Super built-up  Area,Ready To Move,Mysore Road,1 BHK,Baowsig,1357,2,1,36,12.9466619,77.5300896
Super built-up  Area,18-Jun,Hennur Road,2 BHK,Gopia O,1549,4,1,35.175,13.0351224,77.631944
Super built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,ChionCo,1400,4,2,99.27,12.9678103,77.6715478
Carpet  Area,Ready To Move,Hebbal,2 BHK,CharkR ,1080,2,2,55,13.0382184,77.5919
Super built-up  Area,Ready To Move,Tindlu,2 BHK,Diaveic,1180,2,1,46,13.2338969,77.5947061
Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,Shmolti,1800,5,3,65,12.8505644,77.6466948
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,SKterAs,1225,2,1,65,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Goandn ,1005,1,1,100,12.9686859,77.6966093
Super built-up  Area,Ready To Move,Ulsoor,2 BHK,MavarSa,1320,2,2,50,12.9778793,77.6246697
Built-up  Area,Ready To Move,Domlur,2 BHK,Rilor C,1707,2,2,100,12.9624669,77.6381958
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Saiewas,1110,2,1,150,12.9018012,77.6641767
Super built-up  Area,18-Aug,Abbigere,2 BHK,SNnia E,1128,2,1,67.38,13.0742739,77.5288653
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SLtias ,1452.19,2,3,39.59,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,BrlisCo,2600,2,3,95,12.8899174,77.6396808
Super built-up  Area,18-Dec,Hagadur,3 BHK,Sanzaat,2500,3,2,99.745,12.9649058,77.7558386
Super built-up  Area,Ready To Move,Electronic City,2 BHK,SSoraba,960,1,2,51,12.8487599,77.648253
Super built-up  Area,18-Aug,Jakkur,2 BHK,Prarkun,735,2,1,65.35,13.0784743,77.6068938
Super built-up  Area,22-May,Banashankari,2 BHK,SoineC ,2849,2,2,100,12.9278196,77.556621
Super built-up  Area,18-Jul,Sarakki Nagar,3 BHK,Rallse ,850,2,2,135,12.9164567,77.5859615
Super built-up  Area,Ready To Move,Soundarya Layout,3 BHK,Sowerew,1575,3,3,325,13.066906,77.4967968
Built-up  Area,Ready To Move,Whitefield,2 BHK,Goe 3la,1418,2,2,32,12.9963995,77.7614229
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,JahanSa,1065,3,3,35,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Hebbal,5 BHK,Pumesim,1160,2,1,300,13.0382184,77.5919
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Prityel,1092,3,2,32,12.9136133,77.595695
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Eladero,1194,3,1,110,13.0170955,77.4829741
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Prtanha,1455,2,1,104,13.0351224,77.631944
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GSideS ,734,3,2,42.6,12.8463512,77.6690975
Built-up  Area,18-Aug,Kudlu,2 BHK,Sryalan,799,2,0,33.5,12.8889126,77.6555716
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Srrnasa,1100,1,1,44,12.8802089,77.6658442
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Peide L,1128,3,2,47,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Abbigere,3 BHK,Apows M,3875,1,2,61.5,13.0742739,77.5288653
Super built-up  Area,18-Jun,Samethanahalli,1 BHK,DSestma,1098,2,2,19.82,12.979363,77.7907328
Built-up  Area,Ready To Move,Ardendale,2 BHK,SPontna,1460,5,3,38,13.0261316,77.7664705
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Miwel M,1091,4,1,48,12.8487599,77.648253
Super built-up  Area,18-Apr,Cunningham Road,2 BHK,Prarkun,1180,3,2,65,12.9884255,77.5938978
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,Lelia M,1366,2,3,864,12.9104062,77.5951099
Super built-up  Area,Ready To Move,Dollars Layout,2 BHK,MBodsen,1685,3,1,43.91,12.9040098,77.5955558
Super built-up  Area,Ready To Move,Varthur,3 BHK,Sancya ,1260,5,1,88,12.9406508,77.746988
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Hirio L,3010,2,2,32,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Inurave,1346,2,2,42,12.8856913,77.5526564
Super built-up  Area,19-Dec,RMV Extension,2 BHK,PrityFa,630,2,1,76.85,13.0356488,77.574775
Super built-up  Area,Ready To Move,Koramangala,3 BHK,DSureSi,1476,3,2,95,12.9357366,77.624081
Built-up  Area,Ready To Move,Whitefield,2 BHK,Gencysi,1850,2,1,100,12.9963995,77.7614229
Plot  Area,Ready To Move,Whitefield,3 BHK,Chpana ,755,2,2,200,12.9963995,77.7614229
Super built-up  Area,18-Apr,Chandapura,2 BHK,Prtates,1194,5,3,96.17,12.8009043,77.7114908
Super built-up  Area,18-Aug,Sarjapur  Road,1 BHK,Dhowsyo,3850,3,2,13.86,12.9239386,77.6396966
Super built-up  Area,19-May,7th Phase JP Nagar,3 BHK,Klark L,4235,3,2,98.94,12.9136133,77.595695
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Brngsal,2250,2,2,140,12.8487599,77.648253
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,GMown E,1352,2,2,34,12.8802089,77.6658442
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Peide L,2002,3,3,46,12.9963995,77.7614229
Super built-up  Area,18-Feb,Hebbal,3 BHK,BrlisCo,4000,5,2,316,13.0382184,77.5919
Super built-up  Area,18-Jul,Rachenahalli,4 BHK,Cehosy ,1060,2,1,365,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Leino C,1419.59,3,2,195,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Rancy R,1196,3,2,68,13.054713,77.6339258
Super built-up  Area,Ready To Move,Bileshivale,3 BHK,Soitya ,1595,3,1,112,13.0543306,77.6710224
Plot  Area,Ready To Move,Kaval Byrasandra,4 BHK,FeowsMe,1260,2,2,280,13.0200235,77.6092887
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,KuncyRe,1550,2,2,45,12.8856913,77.5526564
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,SoapeSu,4000,2,2,59,12.932582,77.5162034
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GrrvaGr,1662,3,2,51.15,12.8401734,77.6595099
Super built-up  Area,18-Apr,Banashankari,3 BHK,Shitt S,1862,1,1,75,12.9278196,77.556621
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Goeesem,1419,2,1,75,12.9975851,77.6136744
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Asneren,1560,3,2,140,12.8487599,77.648253
Plot  Area,18-Dec,Akshaya Nagar,4 BHK,Janaala,1634,2,1,150,13.0195427,77.6831272
Built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,DLhtsnd,5530,2,3,85,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,SoechHa,1392,2,1,119,12.932582,77.5162034
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1798,2,2,48,12.932582,77.5162034
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,PrrvaPl,1675,2,2,62.4,13.054713,77.6339258
Super built-up  Area,19-Nov,Ambedkar Nagar,3 BHK,Bhe 2ko,1700,2,2,78,12.9490851,77.6184873
Plot  Area,Ready To Move,Nagavarapalya,5 BHK,Thessrm,1248,3,2,627,12.9933837,77.6640524
Super built-up  Area,17-Dec,Jakkur,2 BHK,PuonsSe,1147,3,3,99,13.0784743,77.6068938
Super built-up  Area,19-Dec,Babusapalaya,3 BHK,Ceezey ,1100,2,3,120,13.0283523,77.650469
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Veisear,1527,2,2,75,13.0382184,77.5919
Super built-up  Area,19-Jun,Hulimavu,3 BHK,Raard B,525,2,1,124,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Vandak ,1100,2,2,69,13.0350897,77.6738079
Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,Sanetra,2100,2,2,54,12.9335261,77.6152234
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,HintsAp,1332,4,2,40,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Rancy R,1243,2,0,115,12.8856913,77.5526564
Super built-up  Area,21-Dec,Kaggadasapura,1 BHK,PrarePa,1200,2,3,25,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Gopal Reddy Layout,2 BHK,RohtsHe,1251,2,2,58,12.9245494,77.6743341
Built-up  Area,Ready To Move,Ambalipura,3 BHK,Krestee,883,2,2,75,12.9173303,77.667161
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Dimes E,1400,2,3,79,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,RInceeg,1800,2,2,46,12.9047595,77.6759172
Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,TRensre,1703,3,2,50,12.9558969,77.7405826
Super built-up  Area,18-Jun,Kambipura,2 BHK,ViistLa,933,5,2,47.4,12.882271,77.4606466
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Prrtht ,1262,3,1,45,12.9820719,77.7480909
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Tencyes,915,3,1,67,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Brway G,1370,2,1,260,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Jigani,3 BHK,Soiniy ,1210,2,2,113,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Brookefield,2 BHK,DLhtsen,2392,2,2,43,12.9652094,77.717936
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Mapleer,1445,2,2,75,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Panathur,2 BHK,Rarthne,1300,2,3,48,12.9351457,77.7047541
Super built-up  Area,Ready To Move,Malleshpalya,3 BHK,Saite G,1300,5,2,61.5,12.9744129,77.6743533
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,Shise P,1185,3,3,55,12.9624481,77.6463772
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soianal,1149,5,2,260,13.054713,77.6339258
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,MNlam G,1200,2,0,40.31,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Evood S,1818,3,1,55,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Chandapura,2 BHK,HRaniIb,1640,2,1,85,12.8009043,77.7114908
Super built-up  Area,18-Jul,Hennur Road,3 BHK,SunceEs,1350,2,1,30.22,13.0351224,77.631944
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,RothaVa,1430,2,1,75,12.9239386,77.6396966
Plot  Area,Ready To Move,Hulimavu,5 BHK,Jalot C,1084,4,2,195,12.8773486,77.6028031
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,NiarkHy,1186,2,1,135,12.9945793,77.5503967
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Brway G,1255,3,2,241,12.9651215,77.5090098
Built-up  Area,Ready To Move,Hoodi,3 BHK,DSesthr,3400,2,2,54.6,12.9959233,77.7192796
Super built-up  Area,22-Jun,Sarjapur  Road,2 BHK,GoAirej,3596,2,1,113,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Clell D,1295,3,1,55,13.0351224,77.631944
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Koagati,2820,5,1,56,12.9176571,77.4837568
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Vaens G,1370,2,2,50,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Hosa Road,4 BHK,SoronSa,1100,2,1,240,12.8816077,77.6448181
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,4 BHK,Emine P,4772,3,1,282,12.932582,77.5162034
Super built-up  Area,Ready To Move,Sanjeevini Nagar,2 BHK,NaonySy,1370,2,2,70,12.9604735,77.5593446
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Betatsi,1200,3,1,285,12.9136133,77.595695
Super built-up  Area,Ready To Move,Electronic City,3 BHK,SrncyRe,1178,2,2,54.79,12.8487599,77.648253
Super built-up  Area,Ready To Move,Hebbal,2 BHK,DSgmax ,1286,2,2,40,13.0382184,77.5919
Super built-up  Area,18-Apr,Rajaji Nagar,4 BHK,Emceske,1160,3,2,510,12.9945793,77.5503967
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Brway G,918,2,2,170,12.9096941,77.5866067
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,DSillto,1563,2,1,62,12.9107357,77.5829631
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,ManceEl,3960,3,3,73,12.7467724,77.7742876
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Tavenew,1325,4,2,61.44,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Jigani,2 BHK,Dhalsh ,1100,1,0,42,12.7756195,77.6324661
Super built-up  Area,Ready To Move,Electronic City,2 BHK,DLhtsan,1260,3,2,55,12.8487599,77.648253
Super built-up  Area,21-Dec,Hebbal,3 BHK,KonteiT,1553,3,2,91.84,13.0382184,77.5919
Super built-up  Area,17-Dec,Kaggadasapura,4 BHK,Cehosy ,1280,3,1,386,12.9846713,77.6790908
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,JaaldEm,1550,3,2,50,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Cunningham Road,2 BHK,Whosone,1550,3,1,44,12.9884255,77.5938978
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Srhts P,1515,2,2,60,12.9959233,77.7192796
Super built-up  Area,19-Dec,Whitefield,3 BHK,Caycend,1332,3,2,83.09,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Hebbal,2 BHK,BMttaor,1652,2,2,52,13.0382184,77.5919
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,Arade A,1570,2,1,75,12.9589407,77.6555917
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,PintsAp,5400,4,2,74,12.8401734,77.6595099
Super built-up  Area,Ready To Move,Hosa Road,3 BHK,SNdri N,794,3,2,80.91,12.8816077,77.6448181
Super built-up  Area,19-Mar,Electronic City,3 BHK,Skume R,3600,2,2,86.12,12.8487599,77.648253
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Briumri,2800,3,2,70,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sonosty,1750,5,2,105,12.9239386,77.6396966
Plot  Area,Ready To Move,Sector 2 HSR Layout,4 BHK,Adeatlm,1100,2,1,725,12.9086807,77.6486567
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1 BHK,DShtsow,1665,3,0,60,12.9136133,77.595695
Built-up  Area,Ready To Move,HRBR Layout,4 BHK,RBRWAyo,4051,3,1,410,13.0204703,77.6241642
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,VDenaWa,1447,3,1,250,12.9239386,77.6396966
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SocusHi,1012,1,2,110,12.8856913,77.5526564
Super built-up  Area,21-Dec,Kadubeesanahalli,3 BHK,PrarePa,1900,2,1,53,12.9383641,77.6978073
Super built-up  Area,Ready To Move,Outer Ring Road East,3 BHK,Srhan P,1308,5,2,70,12.9833084,77.6931716
Plot  Area,Ready To Move,Bommasandra,4 BHK,PrstaTe,1140,3,2,345,13.0544346,77.5593269
Built-up  Area,Ready To Move,Balagere,3 BHK,KBaleoy,3181,3,2,80,12.9377243,77.7280705
Built-up  Area,Ready To Move,Malleshpalya,2 BHK,Soresea,1290,3,1,75,12.9744129,77.6743533
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,Saestde,1424,4,1,60,13.0716969,77.6193949
Super built-up  Area,Ready To Move,Gunjur,2 BHK,AriosHe,1662,2,2,92.66,12.9209772,77.7361016
Super built-up  Area,18-Aug,Jakkur,2 BHK,BMineis,8321,2,2,49.11,13.0784743,77.6068938
Super built-up  Area,22-May,Kanakapura,4 BHK,SoineC ,1200,4,2,260.5,12.875978,77.5441292
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SPavenc,1975,2,2,45.15,12.9490851,77.6184873
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SoechHa,1777,2,3,90,13.0195427,77.6831272
Built-up  Area,Ready To Move,Shanthala Nagar,3 BHK,DLhtsnd,1576,4,1,85.5,12.9714173,77.5994394
Super built-up  Area,Ready To Move,Begur Road,5 BHK,Kierser,648,2,3,2700,12.8856188,77.6252418
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Dhalsh ,1167,2,1,45,12.9357366,77.624081
Built-up  Area,Ready To Move,Battarahalli,3 BHK,Jalonht,2350,2,2,210,13.011473,77.7099343
Super built-up  Area,Ready To Move,Anandapura,3 BHK,PaontWa,1991,2,2,100,13.0239276,77.6923621
Super built-up  Area,17-Jul,Raja Rajeshwari Nagar,3 BHK,ViensRK,2721,2,1,59.1,12.932582,77.5162034
Super built-up  Area,18-Aug,Neeladri Nagar,1 BHK,Prllsan,2000,3,0,31.75,12.8414612,77.6479661
Super built-up  Area,Ready To Move,Kogilu,3 BHK,AdingSV,2500,2,1,38,13.103973,77.6167721
Super built-up  Area,Ready To Move,Cleveland Town,3 BHK,Leora E,1325,3,2,327,12.9940417,77.6116055
Built-up  Area,Ready To Move,Rachenahalli,3 BHK,Coner C,1314,4,1,160,13.0588586,77.6232576
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,NRodsen,2220,2,2,113,13.054713,77.6339258
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Bhmesy ,1192.5,2,0,99,12.9963995,77.7614229
Super built-up  Area,Ready To Move,Mallasandra,4 BHK,Sanne E,1420,1,1,155,13.0569525,77.5209467
